"GO.ID","Term","Annotated","Significant","Expected","classicFisher","function_type","p.value","negLogP","semantic_x","semantic_y","cluster","Enrichment_Factor","Total_Gene_Count"
"GO:0006891","intra-Golgi vesicle-mediated transport",21,6,0.08,"9.4e-11","BP",9.4e-11,10.0268721464003,-0.0894973941064919,0.128928372951718,"1",0.285714285714286,21
"GO:0000919","cell plate assembly",23,6,0.09,"1.7e-10","BP",1.7e-10,9.76955107862173,-0.125288976038414,0.463266132738111,"5",0.260869565217391,23
"GO:0042147","retrograde transport, endosome to Golgi",29,6,0.11,"8.1e-10","BP",8.1e-10,9.09151498112135,-0.0980401316825262,0.146154081214366,"1",0.206896551724138,29
"GO:0016482","cytosolic transport",45,6,0.17,"1.3e-08","BP",1.3e-08,7.88605664769316,-0.0914260831790884,0.132942186989469,"1",0.133333333333333,45
"GO:0016197","endosomal transport",54,6,0.2,"4.1e-08","BP",4.1e-08,7.38721614328026,-0.0956432482874577,0.141344242422039,"1",0.111111111111111,54
"GO:0000911","cytokinesis by cell plate formation",68,6,0.26,"1.7e-07","BP",1.7e-07,6.76955107862173,-0.142314720949938,0.462041994670119,"5",0.0882352941176471,68
"GO:0032506","cytokinetic process",72,6,0.27,"2.4e-07","BP",2.4e-07,6.61978875828839,-0.143931605905138,0.468919243496085,"5",0.0833333333333333,72
"GO:1902410","mitotic cytokinetic process",72,6,0.27,"2.4e-07","BP",2.4e-07,6.61978875828839,-0.15014659203064,0.496086779653453,"5",0.0833333333333333,72
"GO:0048193","Golgi vesicle transport",104,6,0.39,"2.1e-06","BP",2.1e-06,5.67778070526608,-0.0894973941064914,0.128928372951718,"1",0.0576923076923077,104
"GO:0000281","mitotic cytokinesis",113,6,0.42,"3.4e-06","BP",3.4e-06,5.46852108295774,-0.147718586924622,0.485189038116863,"5",0.0530973451327434,113
"GO:0061640","cytoskeleton-dependent cytokinesis",117,6,0.44,"4.2e-06","BP",4.2e-06,5.3767507096021,-0.143729191678196,0.467962346618989,"5",0.0512820512820513,117
"GO:0000910","cytokinesis",127,6,0.48,"6.8e-06","BP",6.8e-06,5.16749108729376,-0.141369623441232,0.457206619329388,"5",0.047244094488189,127
"GO:0051301","cell division",232,6,0.87,"0.00020","BP",2e-04,3.69897000433602,-0.110182904280259,0.32142726487113,"5",0.0258620689655172,232
"GO:1903047","mitotic cell cycle process",247,6,0.93,"0.00028","BP",0.00028,3.55284196865778,-0.128934399826926,0.402156004087146,"5",0.0242914979757085,247
"GO:0080092","regulation of pollen tube growth",38,3,0.14,"0.00038","BP",0.00038,3.42021640338319,0.457915986257993,-0.117959055332561,"3",0.0789473684210526,38
"GO:0000278","mitotic cell cycle",295,6,1.11,"0.00072","BP",0.00072,3.14266750356873,-0.12617123478783,0.389564458906148,"5",0.0203389830508475,295
"GO:0051510","regulation of unidimensional cell growth",50,3,0.19,"0.00084","BP",0.00084,3.07572071393812,0.350293630447908,-0.0859304272073241,"3",0.06,50
"GO:0022402","cell cycle process",441,7,1.66,"0.00109","BP",0.00109,2.96257350205938,-0.123087490798939,0.375863768407334,"5",0.0158730158730159,441
"GO:0048468","cell development",471,7,1.77,"0.00159","BP",0.00159,2.79860287567955,0.235073601309163,-0.0540606909645753,"3",0.0148619957537155,471
"GO:0046907","intracellular transport",491,7,1.84,"0.00203","BP",0.00203,2.69250396208679,-0.0888005762269232,0.127496258222066,"1",0.0142566191446029,491
"GO:0016192","vesicle-mediated transport",366,6,1.37,"0.00219","BP",0.00219,2.65955588515988,-0.0884363547635606,0.126803186283881,"1",0.0163934426229508,366
"GO:0072488","ammonium transmembrane transport",21,2,0.08,"0.00275","BP",0.00275,2.56066730616974,-0.0817303401800287,0.113062807245654,"1",0.0952380952380952,21
"GO:0022604","regulation of cell morphogenesis",77,3,0.29,"0.00294","BP",0.00294,2.53165266958784,0.400984892763001,-0.133499383453784,"3",0.038961038961039,77
"GO:0007049","cell cycle",536,7,2.01,"0.00332","BP",0.00332,2.47886191629596,-0.12017515162551,0.362494099117486,"5",0.0130597014925373,536
"GO:0060284","regulation of cell development",82,3,0.31,"0.00352","BP",0.00352,2.45345733652187,0.280721629922583,-0.0847557231441895,"3",0.0365853658536585,82
"GO:0022603","regulation of anatomical structure morph...",170,4,0.64,"0.00361","BP",0.00361,2.44249279809434,0.377997186513623,-0.124820467786819,"3",0.0235294117647059,170
"GO:0051649","establishment of localization in cell",548,7,2.06,"0.00376","BP",0.00376,2.42481215507234,-0.0884912351813171,0.126868276199991,"1",0.0127737226277372,548
"GO:0009144","purine nucleoside triphosphate metabolic...",91,3,0.34,"0.00471","BP",0.00471,2.3269790928711,-0.380834371788236,-0.294922436157755,"2",0.032967032967033,91
"GO:0009205","purine ribonucleoside triphosphate metab...",91,3,0.34,"0.00471","BP",0.00471,2.3269790928711,-0.381255831299797,-0.295375153126839,"2",0.032967032967033,91
"GO:0009199","ribonucleoside triphosphate metabolic pr...",93,3,0.35,"0.00501","BP",0.00501,2.30016227413275,-0.378573002424434,-0.292476676117725,"2",0.032258064516129,93
"GO:0009141","nucleoside triphosphate metabolic proces...",98,3,0.37,"0.00580","BP",0.0058,2.23657200643706,-0.378006882237381,-0.29186439483652,"2",0.0306122448979592,98
