"GO.ID","Term","Annotated","Significant","Expected","classicFisher","function_type","p.value","negLogP","semantic_x","semantic_y","cluster","Enrichment_Factor","Total_Gene_Count"
"GO:0051240","positive regulation of multicellular org...",178,2,0.11,"0.0049","BP",0.0049,2.30980391997149,-0.339896823420779,-0.0436477179456202,"2",0.0112359550561798,178
"GO:0051094","positive regulation of developmental pro...",191,2,0.12,"0.0056","BP",0.0056,2.2518119729938,-0.391673017099425,-0.0657652177557183,"2",0.0104712041884817,191
"GO:0006740","NADPH regeneration",11,1,0.01,"0.0069","BP",0.0069,2.16115090926274,0.436734632001903,-0.137516189517855,"3",0.0909090909090909,11
"GO:0032543","mitochondrial translation",14,1,0.01,"0.0087","BP",0.0087,2.06048074738138,0.325738194974045,0.0977651041611121,"4",0.0714285714285714,14
"GO:0040009","regulation of growth rate",15,1,0.01,"0.0094","BP",0.0094,2.0268721464003,-0.319187531205841,-0.108210392783505,"2",0.0666666666666667,15
"GO:0006739","NADP metabolic process",16,1,0.01,"0.0100","BP",0.01,2,0.436734632001903,-0.137516189517854,"3",0.0625,16
"GO:0051156","glucose 6-phosphate metabolic process",16,1,0.01,"0.0100","BP",0.01,2,0.347407661753265,-0.110416006825971,"3",0.0625,16
"GO:0009067","aspartate family amino acid biosynthetic...",18,1,0.01,"0.0112","BP",0.0112,1.95078197732982,0.318123924352771,0.0254459358833879,"4",0.0555555555555556,18
"GO:0048639","positive regulation of developmental gro...",18,1,0.01,"0.0112","BP",0.0112,1.95078197732982,-0.463726286977383,-0.173547351301114,"2",0.0555555555555556,18
"GO:0019682","glyceraldehyde-3-phosphate metabolic pro...",20,1,0.01,"0.0125","BP",0.0125,1.90308998699194,0.372077068166854,-0.101250667828435,"3",0.05,20
"GO:0046620","regulation of organ growth",21,1,0.01,"0.0131","BP",0.0131,1.88272870434424,-0.431309346744383,-0.210957191068775,"2",0.0476190476190476,21
"GO:0140053","mitochondrial gene expression",26,1,0.02,"0.0162","BP",0.0162,1.79048498545737,0.228116069439286,0.116983723798501,"4",0.0384615384615385,26
"GO:1900057","positive regulation of leaf senescence",27,1,0.02,"0.0168","BP",0.0168,1.77469071827414,-0.418039038985039,-0.082758917122222,"2",0.037037037037037,27
"GO:1905623","positive regulation of leaf development",27,1,0.02,"0.0168","BP",0.0168,1.77469071827414,0.0218997271674715,0.042339926834132,"1",0.037037037037037,27
"GO:0009066","aspartate family amino acid metabolic pr...",29,1,0.02,"0.0180","BP",0.018,1.74472749489669,0.304516704449212,0.0123356909199618,"4",0.0344827586206897,29
"GO:0035265","organ growth",29,1,0.02,"0.0180","BP",0.018,1.74472749489669,-0.303026875169785,-0.351758097105026,"2",0.0344827586206897,29
"GO:0043604","amide biosynthetic process",402,2,0.25,"0.0235","BP",0.0235,1.62893213772826,0.276715394804433,0.0699222612339019,"4",0.00497512437810945,402
"GO:0045927","positive regulation of growth",48,1,0.03,"0.0297","BP",0.0297,1.52724355068279,-0.396536752384316,-0.139920125133494,"2",0.0208333333333333,48
"GO:0006081","cellular aldehyde metabolic process",50,1,0.03,"0.0309","BP",0.0309,1.51004152057517,0.223830953340225,0.0280156389373519,"4",0.02,50
"GO:1900055","regulation of leaf senescence",52,1,0.03,"0.0321","BP",0.0321,1.49349496759513,-0.34561666447889,-0.0435492995647923,"2",0.0192307692307692,52
"GO:0008284","positive regulation of cell population p...",53,1,0.03,"0.0327","BP",0.0327,1.48545224733971,-0.195946295913728,0.0700898350508126,"1",0.0188679245283019,53
"GO:0043603","amide metabolic process",512,2,0.32,"0.0370","BP",0.037,1.43179827593301,0.248114214834735,0.0166289040292508,"4",0.00390625,512
"GO:0009788","negative regulation of abscisic acid-act...",63,1,0.04,"0.0388","BP",0.0388,1.41116827440579,-0.129765465194439,0.503986864369645,"5",0.0158730158730159,63
"GO:1901420","negative regulation of response to alcoh...",63,1,0.04,"0.0388","BP",0.0388,1.41116827440579,-0.213785040765733,0.525606385818689,"5",0.0158730158730159,63
"GO:1905958","negative regulation of cellular response...",63,1,0.04,"0.0388","BP",0.0388,1.41116827440579,-0.129765465194439,0.503986864369645,"5",0.0158730158730159,63
"GO:2000024","regulation of leaf development",76,1,0.05,"0.0467","BP",0.0467,1.33068311943389,-0.330950199097653,-0.0349917687123867,"2",0.0131578947368421,76
"GO:0046496","nicotinamide nucleotide metabolic proces...",78,1,0.05,"0.0479","BP",0.0479,1.31966448658544,0.434665098561608,-0.135701251906577,"3",0.0128205128205128,78
"GO:0019362","pyridine nucleotide metabolic process",79,1,0.05,"0.0485","BP",0.0485,1.31425826139774,0.434550526784122,-0.135600751317039,"3",0.0126582278481013,79
"GO:0016884","carbon-nitrogen ligase activity, with gl...",21,1,0.02,"0.015","MF",0.015,1.82390874094432,NA,NA,NA,0.0476190476190476,21
"GO:0016879","ligase activity, forming carbon-nitrogen...",46,1,0.03,"0.033","MF",0.033,1.48148606012211,NA,NA,NA,0.0217391304347826,46
"GO:0005798","Golgi-associated vesicle",38,1,0.02,"0.02","CC",0.02,1.69897000433602,NA,NA,NA,0.0263157894736842,38
