"GO.ID","Term","Annotated","Significant","Expected","classicFisher","function_type","p.value","negLogP","semantic_x","semantic_y","cluster","Enrichment_Factor","Total_Gene_Count"
"GO:0006397","mRNA processing",196,2,0.04,"0.00042","BP",0.00042,3.3767507096021,-0.426732552449097,-0.00124246795830337,"5",0.0102040816326531,196
"GO:0016071","mRNA metabolic process",323,2,0.07,"0.00113","BP",0.00113,2.94692155651658,-0.343213008233812,-0.00102888136864639,"3",0.00619195046439629,323
"GO:0006366","transcription by RNA polymerase II",351,2,0.07,"0.00134","BP",0.00134,2.87289520163519,0.130225210361464,0.00599604941220107,"2",0.0056980056980057,351
"GO:0006396","RNA processing",548,2,0.11,"0.00326","BP",0.00326,2.48678239993206,-0.282730223278572,-0.000402218437750981,"3",0.00364963503649635,548
"GO:0006351","DNA-templated transcription",1379,2,0.29,"0.02069","BP",0.02069,1.68423950933427,0.130225210361464,0.00599604941220229,"2",0.00145032632342277,1379
"GO:0032774","RNA biosynthetic process",1416,2,0.3,"0.02181","BP",0.02181,1.6613443344213,0.130225210361464,0.00599604941220193,"2",0.00141242937853107,1416
"GO:0034654","nucleobase-containing compound biosynthe...",1642,2,0.34,"0.02933","BP",0.02933,1.53268793701945,0.194561108644595,0.00558386989924842,"2",0.00121802679658952,1642
"GO:0018130","heterocycle biosynthetic process",1827,2,0.38,"0.03632","BP",0.03632,1.43985416015095,0.123366306810064,-0.171723645145231,"1",0.00109469074986316,1827
"GO:0019438","aromatic compound biosynthetic process",1922,2,0.4,"0.04019","BP",0.04019,1.39588199380797,0.128043385543724,-0.178091074837398,"1",0.00104058272632674,1922
"GO:1901362","organic cyclic compound biosynthetic pro...",1984,2,0.41,"0.04283","BP",0.04283,1.36825192560343,0.11370937316783,0.518695683168849,"4",0.00100806451612903,1984
"GO:0044271","cellular nitrogen compound biosynthetic ...",2121,2,0.44,"0.04895","BP",0.04895,1.31024730386084,0.102319978710875,-0.189779413557372,"1",0.000942951438000943,2121
"GO:0070063","RNA polymerase binding",29,2,0.01,"1.2e-05","MF",1.2e-05,4.92081875395237,NA,NA,NA,0.0689655172413793,29
"GO:0019904","protein domain specific binding",67,2,0.02,"6.5e-05","MF",6.5e-05,4.18708664335714,NA,NA,NA,0.0298507462686567,67
"GO:0019899","enzyme binding",438,2,0.11,"0.0028","MF",0.0028,2.55284196865778,NA,NA,NA,0.0045662100456621,438
"GO:0005515","protein binding",1574,2,0.38,"0.0361","MF",0.0361,1.44249279809434,NA,NA,NA,0.00127064803049555,1574
"GO:0009543","chloroplast thylakoid lumen",21,1,0,"0.0022","CC",0.0022,2.65757731917779,NA,NA,NA,0.0476190476190476,21
"GO:0031978","plastid thylakoid lumen",21,1,0,"0.0022","CC",0.0022,2.65757731917779,NA,NA,NA,0.0476190476190476,21
"GO:0031977","thylakoid lumen",62,1,0.01,"0.0065","CC",0.0065,2.18708664335714,NA,NA,NA,0.0161290322580645,62
"GO:0009534","chloroplast thylakoid",288,1,0.03,"0.0302","CC",0.0302,1.51999305704285,NA,NA,NA,0.00347222222222222,288
"GO:0031976","plastid thylakoid",290,1,0.03,"0.0304","CC",0.0304,1.51712641639125,NA,NA,NA,0.00344827586206897,290
"GO:0009579","thylakoid",357,1,0.04,"0.0374","CC",0.0374,1.42712839779952,NA,NA,NA,0.00280112044817927,357
