"GO.ID","Term","Annotated","Significant","Expected","classicFisher","function_type","p.value","negLogP","semantic_x","semantic_y","cluster","Enrichment_Factor","Total_Gene_Count"
"GO:2000012","regulation of auxin polar transport",20,1,0.01,"0.0062","BP",0.0062,2.20760831050175,-0.165077583534908,0.589506201693149,"5",0.05,20
"GO:0048766","root hair initiation",22,1,0.01,"0.0069","BP",0.0069,2.16115090926274,0.476080423577469,-0.0504451150670908,"3",0.0454545454545455,22
"GO:0009958","positive gravitropism",25,1,0.01,"0.0078","BP",0.0078,2.10790539730952,-0.234215255943749,-0.139674324016609,"4",0.04,25
"GO:2000022","regulation of jasmonic acid mediated sig...",26,1,0.01,"0.0081","BP",0.0081,2.09151498112135,-0.316523506550615,-0.066391282145038,"4",0.0384615384615385,26
"GO:0048825","cotyledon development",34,1,0.01,"0.0106","BP",0.0106,1.97469413473523,0.355992396074973,0.0514705794316946,"3",0.0294117647058824,34
"GO:0009755","hormone-mediated signaling pathway",590,2,0.18,"0.0109","BP",0.0109,1.96257350205938,-0.290152497074942,-0.0309241297203973,"4",0.00338983050847458,590
"GO:0032870","cellular response to hormone stimulus",690,2,0.22,"0.0148","BP",0.0148,1.82973828460504,-0.242446317827756,-0.251533851088752,"1",0.00289855072463768,690
"GO:0071495","cellular response to endogenous stimulus",725,2,0.23,"0.0163","BP",0.0163,1.78781239559604,-0.284723756427577,-0.17909182205307,"1",0.00275862068965517,725
"GO:0048767","root hair elongation",55,1,0.02,"0.0171","BP",0.0171,1.76700388960785,0.477926704576897,-0.0507918362569192,"3",0.0181818181818182,55
"GO:0009630","gravitropism",72,1,0.02,"0.0224","BP",0.0224,1.64975198166584,-0.234215255943749,-0.139674324016609,"4",0.0138888888888889,72
"GO:0080147","root hair cell development",72,1,0.02,"0.0224","BP",0.0224,1.64975198166584,0.477926704576897,-0.0507918362569192,"3",0.0138888888888889,72
"GO:0009629","response to gravity",75,1,0.02,"0.0233","BP",0.0233,1.63264407897398,-0.215876664704862,-0.121966030302734,"4",0.0133333333333333,75
"GO:0071310","cellular response to organic substance",884,2,0.28,"0.0239","BP",0.0239,1.62160209905186,-0.211039592187124,-0.220955995801561,"1",0.00226244343891403,884
"GO:0009867","jasmonic acid mediated signaling pathway",80,1,0.03,"0.0248","BP",0.0248,1.60554831917378,-0.316523506550615,-0.066391282145038,"4",0.0125,80
